participantnum,stimulusid,stimulustype,orientation,position,order,response
51,UBS_RTb,dualbranch,left,top,RD_ID_RC,IC
51,UABS_RTb,dualbranch,left,top,RD_RC_ID,RC
51,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RD
51,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
51,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RD
51,chainS_Rb,chain,left,,,RC
51,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
52,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,GCM
52,chainS_Rb,chain,right,,,RC
52,UABS_RTb,dualbranch,right,top,RD_RC_ID,RC
52,UAS_RTb,dualbranch,right,top,RD_ID_RC,RC
52,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
52,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RC
52,UAAS_RTb,dualbranch,right,top,RC_RD_ID,RC
53,chainS_Rb,chain,right,,,GCM
53,UAS_RTb,dualbranch,right,top,RD_ID_RC,GCM
53,UBAS_RTb,dualbranch,right,top,RD_RC_ID,IC
53,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
53,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
53,UABS_RTb,dualbranch,right,top,RD_RC_ID,IC
53,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
54,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
54,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RD
54,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
54,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
54,UAS_RTb,dualbranch,left,top,RD_ID_RC,RC
54,chainS_Rb,chain,left,,,RC
54,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
55,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RD
55,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
55,chainS_Rb,chain,right,,,GCM
55,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,GCM
55,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,GCM
55,UBAS_RTb,dualbranch,right,top,RD_RC_ID,GCM
55,UBBS_RTb,dualbranch,right,top,RC_RD_ID,GCM
56,chainS_Rb,chain,left,,,RC
56,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
56,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
56,UAAS_RTb,dualbranch,left,top,RC_RD_ID,RC
56,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
56,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
56,UAS_RTb,dualbranch,left,top,RD_ID_RC,RC
57,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
57,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
57,UBBS_RTb,dualbranch,left,top,RC_RD_ID,IC
57,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
57,UABS_RTb,dualbranch,left,top,RD_RC_ID,RC
57,chainS_Rb,chain,left,,,RC
57,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,IC
58,UAS_RTb,dualbranch,left,top,RD_ID_RC,RC
58,chainS_Rb,chain,left,,,RC
58,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
58,UABS_RTb,dualbranch,left,top,RD_RC_ID,RC
58,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RD
58,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
58,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
59,UAS_RTb,dualbranch,left,top,RD_ID_RC,RD
59,UABS_RTb,dualbranch,left,top,RD_RC_ID,otherD
59,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
59,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
59,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
59,chainS_Rb,chain,left,,,RC
59,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
60,UBS_RTb,dualbranch,right,top,RD_ID_RC,IC
60,chainS_Rb,chain,right,,,IC
60,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
60,UBBS_RTb,dualbranch,right,top,RC_RD_ID,IC
60,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
60,UAS_RTb,dualbranch,right,top,RD_ID_RC,IC
60,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
61,UAAS_RTb,dualbranch,right,top,RC_RD_ID,otherD
61,UABS_RTb,dualbranch,right,top,RD_RC_ID,IC
61,UBAS_RTb,dualbranch,right,top,RD_RC_ID,otherC
61,UBS_RTb,dualbranch,right,top,RD_ID_RC,otherD
61,UBBS_RTb,dualbranch,right,top,RC_RD_ID,otherC
61,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,otherC
61,chainS_Rb,chain,right,,,otherC
62,UAS_RTb,dualbranch,left,top,RD_ID_RC,IC
62,UBS_RTb,dualbranch,left,top,RD_ID_RC,IC
62,UBAS_RTb,dualbranch,left,top,RD_RC_ID,IC
62,chainS_Rb,chain,left,,,IC
62,UAAS_RTb,dualbranch,left,top,RC_RD_ID,IC
62,UABS_RTb,dualbranch,left,top,RD_RC_ID,IC
62,UBBS_RTb,dualbranch,left,top,RC_RD_ID,IC
63,chainS_Rb,chain,right,,,IC
63,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
63,UBS_RTb,dualbranch,right,top,RD_ID_RC,IC
63,UBAS_RTb,dualbranch,right,top,RD_RC_ID,IC
63,UBBS_RTb,dualbranch,right,top,RC_RD_ID,IC
63,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
63,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
64,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
64,UBBS_RTb,dualbranch,right,top,RC_RD_ID,IC
64,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
64,chainS_Rb,chain,right,,,IC
64,UAS_RTb,dualbranch,right,top,RD_ID_RC,IC
64,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
64,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
65,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RD
65,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RD
65,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RD
65,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RD
65,chainS_Rb,chain,right,,,RC
65,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,RD
65,UAS_RTb,dualbranch,right,top,RD_ID_RC,RD
66,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
66,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
66,chainS_Rb,chain,right,,,IC
66,UBBS_RTb,dualbranch,right,top,RC_RD_ID,IC
66,UBAS_RTb,dualbranch,right,top,RD_RC_ID,IC
66,UAS_RTb,dualbranch,right,top,RD_ID_RC,IC
66,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
67,UABS_RTb,dualbranch,right,top,RD_RC_ID,GCM
67,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
67,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
67,UBBS_RTb,dualbranch,right,top,RC_RD_ID,IC
67,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,ID
67,UAS_RTb,dualbranch,right,top,RD_ID_RC,IC
67,chainS_Rb,chain,right,,,GCM
68,chainS_Rb,chain,left,,,RC
68,UABS_RTb,dualbranch,left,top,RD_RC_ID,RC
68,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
68,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
68,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
68,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
68,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
69,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
69,chainS_Rb,chain,left,,,RC
69,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
69,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
69,UAAS_RTb,dualbranch,left,top,RC_RD_ID,RC
69,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
69,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
70,UABS_RTb,dualbranch,right,top,RD_RC_ID,IC
70,UBAS_RTb,dualbranch,right,top,RD_RC_ID,IC
70,chainS_Rb,chain,right,,,IC
70,UBS_RTb,dualbranch,right,top,RD_ID_RC,IC
70,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
70,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
70,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
71,UAS_RTb,dualbranch,left,top,RD_ID_RC,RC
71,UAAS_RTb,dualbranch,left,top,RC_RD_ID,RC
71,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
71,UBBS_RTb,dualbranch,left,top,RC_RD_ID,RD
71,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
71,chainS_Rb,chain,left,,,RC
71,UABS_RTb,dualbranch,left,top,RD_RC_ID,RC
72,UABS_RTb,dualbranch,left,top,RD_RC_ID,RD
72,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RD
72,UAAS_RTb,dualbranch,left,top,RC_RD_ID,RC
72,chainS_Rb,chain,left,,,RC
72,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RD
72,UBBS_RTb,dualbranch,left,top,RC_RD_ID,RC
72,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RD
73,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,ID
73,UBAS_RTb,dualbranch,right,top,RD_RC_ID,otherC
73,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
73,UABS_RTb,dualbranch,right,top,RD_RC_ID,IC
73,chainS_Rb,chain,right,,,IC
73,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
73,UBBS_RTb,dualbranch,right,top,RC_RD_ID,IC
74,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,IC
74,chainS_Rb,chain,left,,,GCM
74,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,GCM
74,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,GCM
74,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,GCM
74,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,GCM
74,UBS_RTb,dualbranch,left,top,RD_ID_RC,GCM
75,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,otherC
75,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,otherC
75,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,otherC
75,chainS_Rb,chain,left,,,otherC
75,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,otherD
75,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,otherD
75,UBBS_RTb,dualbranch,left,top,RC_RD_ID,otherC
76,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
76,chainS_Rb,chain,left,,,RC
76,UBBS_RTb,dualbranch,left,top,RC_RD_ID,RD
76,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RD
76,UAS_RTb,dualbranch,left,top,RD_ID_RC,RC
76,UABS_RTb,dualbranch,left,top,RD_RC_ID,RC
76,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
77,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RD
77,chainS_Rb,chain,right,,,RC
77,UAS_RTb,dualbranch,right,top,RD_ID_RC,RD
77,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
77,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RC
77,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,RD
77,UBS_RTb,dualbranch,right,top,RD_ID_RC,RD
78,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RD
78,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
78,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RD
78,chainS_Rb,chain,left,,,RC
78,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RD
78,UBBS_RTb,dualbranch,left,top,RC_RD_ID,RC
78,UBS_RTb,dualbranch,left,top,RD_ID_RC,RD
79,chainS_Rb,chain,right,,,RC
79,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RD
79,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
79,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,RD
79,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RD
79,UABS_RTb,dualbranch,right,top,RD_RC_ID,RD
79,UAAS_RTb,dualbranch,right,top,RC_RD_ID,RC
80,UBAS_RTb,dualbranch,left,top,RD_RC_ID,otherC
80,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,otherC
80,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,otherD
80,chainS_Rb,chain,left,,,otherC
80,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,otherD
80,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,otherD
80,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,otherC
81,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RC
81,chainS_Rb,chain,right,,,GCM
81,UABS_RTb,dualbranch,right,top,RD_RC_ID,RC
81,UAAS_RTb,dualbranch,right,top,RC_RD_ID,IC
81,UBS_RTb,dualbranch,right,top,RD_ID_RC,IC
81,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
81,UBBS_RTb,dualbranch,right,top,RC_RD_ID,GCM
82,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
82,UABS_RTb,dualbranch,left,top,RD_RC_ID,RC
82,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
82,chainS_Rb,chain,left,,,RC
82,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
82,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
82,UAAS_RTb,dualbranch,left,top,RC_RD_ID,RD
83,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
83,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RC
83,UAAS_RTb,dualbranch,right,top,RC_RD_ID,RC
83,chainS_Rb,chain,right,,,RC
83,UBS_RTb,dualbranch,right,top,RD_ID_RC,RC
83,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RC
83,UABS_RTb,dualbranch,right,top,RD_RC_ID,RC
84,chainS_Rb,chain,right,,,RC
84,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,RC
84,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RC
84,UAS_RTb,dualbranch,right,top,RD_ID_RC,RC
84,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RD
84,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
84,UAAS_RTb,dualbranch,right,top,RC_RD_ID,RD
85,UBBS_RTb,dualbranch,left,top,RC_RD_ID,RC
85,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
85,chainS_Rb,chain,left,,,RC
85,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
85,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
85,UAAS_RTb,dualbranch,left,top,RC_RD_ID,RC
85,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
86,UABS_RTb,dualbranch,left,top,RD_RC_ID,RC
86,chainS_Rb,chain,left,,,RC
86,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
86,UBBS_RTb,dualbranch,left,top,RC_RD_ID,RC
86,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
86,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
86,UAS_RTb,dualbranch,left,top,RD_ID_RC,RC
87,UAS_RTb,dualbranch,left,top,RD_ID_RC,RC
87,UBBS_RTb,dualbranch,left,top,RC_RD_ID,RC
87,UBS_RTb,dualbranch,left,top,RD_ID_RC,RD
87,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RD
87,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
87,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RD
87,chainS_Rb,chain,left,,,RC
88,UBAS_RTb,dualbranch,left,top,RD_RC_ID,otherC
88,UAS_RTb,dualbranch,left,top,RD_ID_RC,otherD
88,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,otherD
88,UBBS_RTb,dualbranch,left,top,RC_RD_ID,otherD
88,UBS_RTb,dualbranch,left,top,RD_ID_RC,otherC
88,chainS_Rb,chain,left,,,otherC
88,UABS_RTb,dualbranch,left,top,RD_RC_ID,otherC
89,UABS_RTb,dualbranch,right,top,RD_RC_ID,IC
89,UBAS_RTb,dualbranch,right,top,RD_RC_ID,IC
89,UBS_RTb,dualbranch,right,top,RD_ID_RC,IC
89,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
89,UBBS_RTb,dualbranch,right,top,RC_RD_ID,IC
89,chainS_Rb,chain,right,,,IC
89,UAAS_RTb,dualbranch,right,top,RC_RD_ID,IC
90,UBAS_RTb,dualbranch,left,top,RD_RC_ID,IC
90,UABS_RTb,dualbranch,left,top,RD_RC_ID,IC
90,chainS_Rb,chain,left,,,RC
90,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
90,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
90,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RD
90,UAS_RTb,dualbranch,left,top,RD_ID_RC,RC
91,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
91,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RD
91,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RD
91,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,RD
91,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RD
91,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RC
91,chainS_Rb,chain,right,,,RC
92,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
92,UBS_RTb,dualbranch,right,top,RD_ID_RC,RC
92,chainS_Rb,chain,right,,,RC
92,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
92,UAS_RTb,dualbranch,right,top,RD_ID_RC,RC
92,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RC
92,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RC
93,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RD
93,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
93,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RC
93,UAS_RTb,dualbranch,right,top,RD_ID_RC,RD
93,chainS_Rb,chain,right,,,RC
93,UAAS_RTb,dualbranch,right,top,RC_RD_ID,RC
93,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,RC
94,chainS_Rb,chain,left,,,RC
94,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
94,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
94,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
94,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
94,UBBS_RTb,dualbranch,left,top,RC_RD_ID,RC
94,UABS_RTb,dualbranch,left,top,RD_RC_ID,RC
95,chainS_Rb,chain,left,,,otherC
95,UAS_RTb,dualbranch,left,top,RD_ID_RC,RD
95,UBBS_RTb,dualbranch,left,top,RC_RD_ID,otherC
95,UAAS_RTb,dualbranch,left,top,RC_RD_ID,RC
95,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,otherC
95,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,otherD
95,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
96,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,RD
96,chainS_Rb,chain,right,,,IC
96,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
96,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
96,UAS_RTb,dualbranch,right,top,RD_ID_RC,IC
96,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
96,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
97,UAAS_RTb,dualbranch,left,top,RC_RD_ID,RC
97,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
97,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RD
97,UBS_RTb,dualbranch,left,top,RD_ID_RC,RD
97,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RD
97,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RD
97,chainS_Rb,chain,left,,,RC
98,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
98,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
98,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
98,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
98,UBS_RTb,dualbranch,right,top,RD_ID_RC,IC
98,chainS_Rb,chain,right,,,IC
98,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
99,chainS_Rb,chain,right,,,RC
99,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RC
99,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
99,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
99,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
99,UABS_RTb,dualbranch,right,top,RD_RC_ID,RC
99,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
100,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
100,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RC
100,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,otherC
100,UAS_RTb,dualbranch,right,top,RD_ID_RC,RC
100,UBS_RTb,dualbranch,right,top,RD_ID_RC,RC
100,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,otherC
100,chainS_Rb,chain,right,,,IC
